date,strategy,ticker,weight,realized_future_return,predicted_return_score,hmm_regime
2024-02-01,EqualWeight_Top10,VRSK,0.1,-0.0201524489364852,0.548025,0
2024-02-01,EqualWeight_Top10,YUM,0.1,0.0587021426305078,0.5115988,0
2024-02-01,HMM_MinVar_Top10,APD,0.055138351590993846,-0.0907691245022831,0.5156368,0
2024-02-01,HMM_MinVar_Top10,BKNG,0.015908586301905392,-0.0165016591978768,0.5164085,0
2024-02-01,HMM_MinVar_Top10,C,0.1816403600378353,0.0012606822219287,0.512713,0
2024-02-01,HMM_MinVar_Top10,FDX,0.030725457715257403,0.0192187482232331,0.5239109,0
2024-02-01,HMM_MinVar_Top10,HAL,0.0,0.0059270531369914,0.51851517,0
2024-02-01,HMM_MinVar_Top10,HPQ,0.048646057912973786,0.0162404232827775,0.52758783,0
2024-02-01,HMM_MinVar_Top10,KMB,0.25,-0.004293814708274,0.5204677,0
2024-02-01,HMM_MinVar_Top10,SLB,0.052799439348818936,0.0128802572854469,0.51157004,0
2024-02-01,HMM_MinVar_Top10,VRSK,0.2296978478759136,-0.0201524489364852,0.548025,0
2024-02-01,HMM_MinVar_Top10,YUM,0.1354438992163017,0.0587021426305078,0.5115988,0
2024-02-01,HMM_ScoreMV_Top10,APD,0.0,-0.0907691245022831,0.5156368,0
2024-02-01,HMM_ScoreMV_Top10,BKNG,0.0,-0.0165016591978768,0.5164085,0
2024-02-01,HMM_ScoreMV_Top10,C,0.0,0.0012606822219287,0.512713,0
2024-02-01,HMM_ScoreMV_Top10,FDX,0.24999999999999994,0.0192187482232331,0.5239109,0
2024-02-01,HMM_ScoreMV_Top10,HAL,0.0,0.0059270531369914,0.51851517,0
2024-02-01,HMM_ScoreMV_Top10,HPQ,0.24999999999999992,0.0162404232827775,0.52758783,0
2024-02-01,HMM_ScoreMV_Top10,KMB,0.24999999999999992,-0.004293814708274,0.5204677,0
2024-02-01,HMM_ScoreMV_Top10,SLB,0.0,0.0128802572854469,0.51157004,0
2024-02-01,HMM_ScoreMV_Top10,VRSK,0.24999999999999992,-0.0201524489364852,0.548025,0
2024-02-01,HMM_ScoreMV_Top10,YUM,1.3411813076183654e-16,0.0587021426305078,0.5115988,0
2024-02-01,Static_MinVar_Top10,APD,0.10172993278365274,-0.0907691245022831,0.5156368,0
2024-02-01,Static_MinVar_Top10,BKNG,0.0,-0.0165016591978768,0.5164085,0
2024-02-01,Static_MinVar_Top10,C,0.08089316144710632,0.0012606822219287,0.512713,0
2024-02-01,Static_MinVar_Top10,FDX,0.057786659646032884,0.0192187482232331,0.5239109,0
2024-02-01,Static_MinVar_Top10,HAL,0.0024142922765744176,0.0059270531369914,0.51851517,0
2024-02-01,Static_MinVar_Top10,HPQ,0.008279535789190941,0.0162404232827775,0.52758783,0
2024-02-01,Static_MinVar_Top10,KMB,0.25,-0.004293814708274,0.5204677,0
